conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
₱ 5,633₱ 5,352
Original price ₱ 5,633. Current price ₱ 5,352.
+₱ 1,555 taxes and charges","Breakfast included
Turtle Maldives - Your Gateway to the Beach & Marine Adventures Await!
Opens in new window
OmadhooShow on map
9.3
Scored 9.3
Superb
54 reviews
Location 9.4
Standard Twin Room
2 single beds
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 5,633₱ 5,352
Original price ₱ 5,633. Current price ₱ 5,352.
+₱ 1,555 taxes and charges
See availability","9.3
Scored 9.3
Superb
54 reviews",Turtle Maldives - Your Gateway to the Beach & Marine Adventures Await!,Omadhoo,Standard Twin Room,3 out of 5
,"1 night, 2 adults
₱ 7,269
Price ₱ 7,269
+₱ 2,007 taxes and charges","Breakfast included
Canareef Resort Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MeedhooShow on map
8.0
Scored 8.0
Very good
134 reviews
Sunrise Villa
Entire villa • 1 bedroom • 1 bathroom • 76m²
1 extra-large double bed
Breakfast included
Free cancellation
1 night, 2 adults
₱ 7,269
Price ₱ 7,269
+₱ 2,007 taxes and charges
See availability","8.0
Scored 8.0
Very good
134 reviews",Canareef Resort Maldives,Meedhoo,Sunrise Villa,4 out of 5
,"1 night, 2 adults
₱ 2,535₱ 1,927
Original price ₱ 2,535. Current price ₱ 1,927.
+₱ 898 taxes and charges","Finimas Residence
Opens in new window
ThimarafushiShow on map
8.5
Scored 8.5
Very good
12 reviews
Getaway Deal
Deluxe Family Room
2 beds (1 single, 1 large double)
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 2,535₱ 1,927
Original price ₱ 2,535. Current price ₱ 1,927.
+₱ 898 taxes and charges
See availability","8.5
Scored 8.5
Very good
12 reviews",Finimas Residence,Thimarafushi,Deluxe Family Room,
,"1 night, 2 adults
₱ 3,549₱ 3,035
Original price ₱ 3,549. Current price ₱ 3,035.
+₱ 1,220 taxes and charges","Aasna Inn
Opens in new window
ThulusdhooShow on map
8.5
Scored 8.5
Very good
153 reviews
Deluxe Double or Twin Room
Multiple bed types
Breakfast included
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,549₱ 3,035
Original price ₱ 3,549. Current price ₱ 3,035.
+₱ 1,220 taxes and charges
See availability","8.5
Scored 8.5
Very good
153 reviews",Aasna Inn,Thulusdhoo,Deluxe Double or Twin Room,
,"1 night, 2 adults
₱ 185,905
Price ₱ 185,905
+₱ 198,425 taxes and charges","Soneva Jani
Opens in new window
NoonuShow on map
9.2
Scored 9.2
Superb
56 reviews
1 Bedroom Water Retreat with Slide
2 beds (1 single, 1 extra-large double)
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 185,905
Price ₱ 185,905
+₱ 198,425 taxes and charges
See availability","9.2
Scored 9.2
Superb
56 reviews",Soneva Jani,Noonu,1 Bedroom Water Retreat with Slide,5 out of 5
,"1 night, 2 adults
₱ 6,045
Price ₱ 6,045
+₱ 2,345 taxes and charges","Breakfast included
Kaani Grand Seaview
Opens in new window
MaafushiShow on map
8.4
Scored 8.4
Very good
1,038 reviews
Cleanliness 8.8
Room Assigned on Arrival
Breakfast included
1 night, 2 adults
₱ 6,045
Price ₱ 6,045
+₱ 2,345 taxes and charges
See availability","8.4
Scored 8.4
Very good
1,038 reviews",Kaani Grand Seaview,Maafushi,Room Assigned on Arrival,4 out of 5
,"1 night, 2 adults
₱ 3,718₱ 3,532
Original price ₱ 3,718. Current price ₱ 3,532.
+₱ 1,026 taxes and charges","Sunview Residence
Opens in new window
KaashidhooShow on map
8.9
Scored 8.9
Fabulous
54 reviews
Cleanliness 9.2
Double Room
2 beds (1 single, 1 double)
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,718₱ 3,532
Original price ₱ 3,718. Current price ₱ 3,532.
+₱ 1,026 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
54 reviews",Sunview Residence,Kaashidhoo,Double Room,3 out of 5
,"1 night, 2 adults
₱ 37,763₱ 5,287
Original price ₱ 37,763. Current price ₱ 5,287.
+₱ 1,797 taxes and charges","Breakfast included
La Palma Villa
Opens in new window
UkulhasShow on map
8.9
Scored 8.9
Fabulous
181 reviews
Cleanliness 9.1
Deluxe Villa with 18% discount on All Excursions
Entire villa • 1 bedroom • 1 bathroom • 15m²
2 extra-large double beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
₱ 37,763₱ 5,287
Original price ₱ 37,763. Current price ₱ 5,287.
+₱ 1,797 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
181 reviews",La Palma Villa,Ukulhas,Deluxe Villa with 18% discount on All Excursions,3 out of 5
,"1 night, 2 adults
₱ 4,225₱ 4,014
Original price ₱ 4,225. Current price ₱ 4,014.
+₱ 1,335 taxes and charges","Stay Mikado
Opens in new window
ThimarafushiShow on map
9.8
Scored 9.8
Exceptional
27 reviews
Cleanliness 9.7
Double Room
1 large double bed
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 4,225₱ 4,014
Original price ₱ 4,225. Current price ₱ 4,014.
+₱ 1,335 taxes and charges
See availability","9.8
Scored 9.8
Exceptional
27 reviews",Stay Mikado,Thimarafushi,Double Room,4 out of 5
